,loss,categorical_crossentropy,acc,val_loss,val_categorical_crossentropy,val_acc
0,0.348594069480896,0.554629921913147,0.981020987033844,0.34878644347190857,0.4489520490169525,0.9801848530769348
1,0.3482148349285126,0.5108062624931335,0.9828335046768188,0.3485057055950165,0.45701196789741516,0.9814498424530029
2,0.34806349873542786,0.4876776337623596,0.9835617542266846,0.3482475280761719,0.43162068724632263,0.982709527015686
3,0.34793955087661743,0.4691770374774933,0.9841539859771729,0.3484085500240326,0.45440301299095154,0.9818918704986572
4,0.34783676266670227,0.4557574987411499,0.9846528172492981,0.3482813239097595,0.44563865661621094,0.9825034141540527
5,0.34775641560554504,0.4444177746772766,0.9850370287895203,0.34802451729774475,0.4257207214832306,0.9837578535079956
6,0.34767812490463257,0.4341942369937897,0.9854124188423157,0.3486628532409668,0.4924298822879791,0.9806478023529053
7,0.34760236740112305,0.4242677092552185,0.985784649848938,0.34816449880599976,0.44129905104637146,0.9830607175827026
8,0.3475388288497925,0.41764023900032043,0.9860883355140686,0.3483085334300995,0.43176138401031494,0.9823393225669861
9,0.34748297929763794,0.4119473397731781,0.9863551259040833,0.348186731338501,0.4195035696029663,0.9829313158988953
10,0.3474339544773102,0.4059983491897583,0.9865923523902893,0.3480377793312073,0.4105629324913025,0.9836573004722595
11,0.34738364815711975,0.40163683891296387,0.9868320226669312,0.34799522161483765,0.4089985489845276,0.983849823474884
12,0.3473401665687561,0.39601731300354004,0.9870439767837524,0.34775954484939575,0.3978745937347412,0.9850073456764221
13,0.34729430079460144,0.38993939757347107,0.9872598648071289,0.34749236702919006,0.3763531744480133,0.9863424301147461
14,0.3472590148448944,0.3834078311920166,0.987433910369873,0.34773606061935425,0.37163275480270386,0.9851251244544983
