,loss,categorical_crossentropy,acc,val_loss,val_categorical_crossentropy,val_acc
0,0.3475896120071411,0.22138936817646027,0.9858389496803284,0.3476324677467346,0.21856527030467987,0.9856297373771667
1,0.3475053906440735,0.2149953544139862,0.9862436652183533,0.34760627150535583,0.2169339656829834,0.9857573509216309
2,0.3474855422973633,0.21343423426151276,0.9863413572311401,0.34757253527641296,0.21447715163230896,0.9859169125556946
3,0.347477525472641,0.21485841274261475,0.9863787889480591,0.3475632965564728,0.21460069715976715,0.9859622120857239
4,0.3474481701850891,0.21170789003372192,0.9865216016769409,0.34755057096481323,0.21461522579193115,0.9860256314277649
5,0.3474109470844269,0.2091483175754547,0.9867003560066223,0.34754833579063416,0.21505707502365112,0.9860354065895081
6,0.3473963141441345,0.2085728943347931,0.9867713451385498,0.3475397825241089,0.21298842132091522,0.9860769510269165
7,0.34739649295806885,0.20903873443603516,0.9867705702781677,0.347508043050766,0.21255485713481903,0.9862327575683594
8,0.3473675549030304,0.20724192261695862,0.9869092106819153,0.3475310206413269,0.2157883495092392,0.9861208200454712
9,0.3473890423774719,0.2101561576128006,0.9868056178092957,0.34751683473587036,0.2143421769142151,0.9861886501312256
10,0.3473502993583679,0.2069825679063797,0.9869914054870605,0.34752151370048523,0.21516604721546173,0.98616623878479
11,0.3473462462425232,0.20675520598888397,0.9870128631591797,0.3475225269794464,0.21549919247627258,0.9861600399017334
12,0.34732797741889954,0.20584897696971893,0.9871009588241577,0.3475014567375183,0.2139977663755417,0.9862619042396545
13,0.3473222851753235,0.20628097653388977,0.9871287941932678,0.3474879860877991,0.2137099802494049,0.9863274097442627
14,0.3473028838634491,0.2043350487947464,0.9872230291366577,0.3474658727645874,0.21181702613830566,0.9864342212677002
