,loss,categorical_crossentropy,acc,val_loss,val_categorical_crossentropy,val_acc
0,0.35272353887557983,0.14530150592327118,0.9720887541770935,0.3487544059753418,0.13235943019390106,0.9806486964225769
1,0.3487841784954071,0.16235478222370148,0.9802418947219849,0.34838706254959106,0.16475068032741547,0.9820377230644226
2,0.34849193692207336,0.19129396975040436,0.9815102219581604,0.348177045583725,0.1893875002861023,0.9830073714256287
3,0.3483279049396515,0.21872253715991974,0.9822751879692078,0.3481084108352661,0.2225780338048935,0.9833258986473083
4,0.3482029438018799,0.2413490265607834,0.982867419719696,0.34806036949157715,0.23513944447040558,0.9835535287857056
5,0.3480982482433319,0.2585628926753998,0.9833691716194153,0.347903311252594,0.2562287747859955,0.9843100309371948
6,0.34803807735443115,0.2714153230190277,0.9836616516113281,0.34792089462280273,0.273271769285202,0.9842240214347839
7,0.34798502922058105,0.28086408972740173,0.9839169979095459,0.3477899134159088,0.272624135017395,0.9848580360412598
8,0.34793567657470703,0.2895008325576782,0.984153687953949,0.3477800190448761,0.2774852216243744,0.9849066734313965
9,0.34788984060287476,0.2950688898563385,0.9843746423721313,0.34778815507888794,0.2791000306606293,0.984865128993988
10,0.3478378355503082,0.29866522550582886,0.9846249222755432,0.3477480113506317,0.29478907585144043,0.9850597977638245
11,0.3478023111820221,0.3031548857688904,0.9847983121871948,0.34769564867019653,0.2950665354728699,0.985310971736908
12,0.34776315093040466,0.3113703727722168,0.984985888004303,0.3477057218551636,0.30369076132774353,0.9852601885795593
13,0.3477307856082916,0.31572824716567993,0.9851398468017578,0.3476073443889618,0.29376137256622314,0.985736608505249
14,0.3477019667625427,0.3209899365901947,0.9852781891822815,0.347639799118042,0.3190579414367676,0.9855820536613464
15,0.34766918420791626,0.32372963428497314,0.985439121723175,0.3476610779762268,0.3229053020477295,0.985477089881897
16,0.3476470112800598,0.324961394071579,0.985548198223114,0.3475274443626404,0.31326422095298767,0.9861235618591309
17,0.3476146459579468,0.3287275433540344,0.9857001304626465,0.3475188612937927,0.32180914282798767,0.9861634373664856
18,0.34759676456451416,0.33006855845451355,0.9857879281044006,0.34748584032058716,0.324042946100235,0.9863201975822449
19,0.3475703001022339,0.33593088388442993,0.9859170317649841,0.3474716246128082,0.3230358064174652,0.9863936901092529
20,0.3475380539894104,0.336983323097229,0.9860749244689941,0.34748268127441406,0.3335949182510376,0.9863387942314148
21,0.3475164473056793,0.33922022581100464,0.9861758351325989,0.3474554121494293,0.31798428297042847,0.9864711761474609
22,0.3474988043308258,0.34392303228378296,0.9862633943557739,0.3474111258983612,0.33114808797836304,0.9866828918457031
23,0.34747329354286194,0.34653958678245544,0.9863848686218262,0.3474358916282654,0.34381547570228577,0.9865632057189941
24,0.34745752811431885,0.34827762842178345,0.9864587783813477,0.34741321206092834,0.34484249353408813,0.9866721034049988
25,0.3474411964416504,0.35139530897140503,0.9865392446517944,0.347430020570755,0.3501906096935272,0.9865923523902893
26,0.34741517901420593,0.34843453764915466,0.9866620302200317,0.3473525643348694,0.34202638268470764,0.9869651794433594
27,0.3473958373069763,0.354048490524292,0.9867561459541321,0.34734219312667847,0.3454801142215729,0.9870160222053528
28,0.3473820984363556,0.3502669036388397,0.9868247509002686,0.34734979271888733,0.3316972255706787,0.9869775772094727
29,0.3473716378211975,0.35577407479286194,0.986871600151062,0.34737271070480347,0.3482542634010315,0.986870527267456
